id;service;sbytes;dbytes;sttl;dttl;sloss;dloss;swin;stcpb;dtcpb;dwin;response_body_len;ct_srv_src;ct_state_ttl;ct_dst_ltm;ct_src_dport_ltm;ct_dst_sport_ltm;ct_dst_src_ltm;ct_src_ltm;ct_srv_dst;is_sm_ips_ports;attack_cat;label
25647;ftp-data;424;8824;31;29;1;4;255;2604752930;2615743764;255;0;3;0;5;1;1;5;8;3;0;Normal;0
20589;-;2958;32746;31;29;7;18;255;3776349725;3820376007;255;0;12;0;4;1;1;5;8;7;0;Normal;0
15863;-;7814;16912;31;29;30;32;255;3699167179;3695967758;255;0;1;0;3;1;1;2;4;2;0;Normal;0
8495;-;3806;51808;31;29;7;26;255;532786446;2682681979;255;0;10;0;1;1;1;1;6;4;0;Normal;0
10023;http;1052;824;31;29;2;2;255;2352172386;203614732;255;83;5;0;3;3;1;10;18;1;0;Normal;0
42263;-;1064;0;254;0;0;0;0;0;0;0;0;34;2;4;4;1;34;4;34;0;Normal;0
40387;ftp;2934;3742;31;29;11;15;255;2383378605;2384418899;255;0;1;0;3;1;1;5;7;1;0;Normal;0
38483;-;3598;48710;31;29;7;24;255;907138135;3057019869;255;0;5;0;5;1;1;4;3;6;0;Normal;0
16238;smtp;37372;3380;31;29;18;8;255;712167644;713231218;255;0;1;0;1;1;1;1;3;1;0;Normal;0
3001;-;1540;1644;31;29;4;4;255;3744297197;1598685074;255;0;6;0;8;6;1;6;8;12;0;Normal;0
98565;http;826;1052;62;252;2;2;255;3482511461;1723039202;255;124;7;1;3;3;1;8;3;7;0;Normal;0
33905;-;2542;23508;31;29;7;14;255;1413972389;3580463619;255;0;5;0;7;1;1;1;3;8;0;Normal;0
46738;-;978;86;62;252;2;1;255;3752923988;3180022026;255;0;4;3;1;1;1;3;1;3;0;Normal;0
47628;-;608;646;254;252;2;3;255;2656506742;1130550611;255;0;5;1;2;2;1;4;3;4;0;Normal;0
1462;smtp;37358;3380;31;29;18;8;255;4134100594;1985619448;255;0;1;0;3;1;1;3;4;2;0;Normal;0
13968;dns;146;178;31;29;0;0;0;0;0;0;0;2;0;1;1;1;1;3;2;0;Normal;0
111869;-;46;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;1;Normal;0
1141;-;2198;34406;31;29;5;15;255;3637390966;3306031882;255;0;6;0;15;6;1;6;7;15;0;Normal;0
22441;-;2054;2478;31;29;6;6;255;3908286350;3908572803;255;0;4;0;4;1;1;1;3;4;0;Normal;0
33806;-;3614;50036;31;29;7;24;255;1283248839;3433171253;255;0;12;0;5;1;1;2;5;8;0;Normal;0
32936;-;3926;57474;31;29;7;27;255;2694331473;2734658681;255;0;6;0;2;1;1;1;2;4;0;Normal;0
114840;-;46;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;1;Normal;0
34751;dns;146;178;31;29;0;0;0;0;0;0;0;3;0;2;1;1;1;3;3;0;Normal;0
22630;http;17538;1087900;31;29;2;370;255;2454160298;2455624550;255;524288;2;0;4;2;1;1;2;1;0;Normal;0
14597;ftp;2934;3740;31;29;11;15;255;3229102750;1080499228;255;0;1;0;8;1;1;4;7;1;0;Normal;0
66210;-;914;642;254;252;5;3;255;1670882145;3131996265;255;0;10;1;1;1;1;9;2;9;0;Normal;0
83734;http;68195;698;254;252;27;1;255;217785685;1077864035;255;0;1;1;1;1;1;1;1;1;0;Normal;0
11257;-;5174;83812;31;29;7;39;255;3129542845;984425822;255;0;5;0;1;1;1;1;3;12;0;Normal;0
77039;-;104;0;254;0;0;0;0;0;0;0;0;3;2;1;1;1;2;1;2;0;Normal;0
35811;-;1064;0;254;0;0;0;0;0;0;0;0;28;2;14;14;1;28;14;28;0;Normal;0
109521;-;46;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;1;Normal;0
84037;-;3026;758;254;252;3;2;255;1947506125;3646939837;255;0;3;1;2;2;1;1;2;4;0;Normal;0
307;dns;132;164;31;29;0;0;0;0;0;0;0;5;0;1;3;1;3;3;10;0;Normal;0
19768;-;503;0;64;0;0;0;0;0;0;0;0;14;0;14;14;14;14;14;14;0;Normal;0
41035;-;934;556;254;252;5;3;255;1640052617;1108011887;255;0;4;1;1;1;1;3;1;3;0;Normal;0
14765;-;4528;2456;31;29;7;7;255;252037414;2400395027;255;0;3;0;4;1;1;3;3;13;0;Normal;0
2213;smtp;37230;3276;31;29;18;8;255;3235070529;1090721554;255;0;2;0;1;1;1;1;2;1;0;Normal;0
45225;-;534;268;254;252;2;1;255;3559887313;2736520148;255;0;7;1;1;1;1;3;2;3;0;Normal;0
18510;ftp-data;8928;320;31;29;4;1;255;783221525;3241858155;255;0;3;0;4;1;1;5;4;3;0;Normal;0
3406;-;1540;1644;31;29;4;4;255;4152176475;4153016576;255;0;8;0;6;6;1;7;8;14;0;Normal;0
8546;ssh;3728;5474;31;29;7;7;255;3301406224;1156304831;255;0;2;0;3;2;1;3;2;1;0;Normal;0
44382;-;498;268;254;252;2;1;255;3744201758;951489743;255;0;7;1;1;1;1;7;2;7;0;Normal;0
19028;-;24952;1094788;31;29;38;390;255;313156630;316887733;255;0;7;0;5;2;1;3;2;5;0;Normal;0
2932;ssh;5928;8010;31;29;14;17;255;2221842920;72567140;255;0;1;0;2;1;1;2;10;1;0;Normal;0
34071;-;3926;57474;31;29;7;27;255;603774697;2780676296;255;0;2;0;1;1;1;1;4;4;0;Normal;0
43448;ftp;634;682;254;252;3;4;255;595132898;2666363434;255;0;4;1;1;1;1;4;6;4;0;Normal;0
35990;ftp-data;8928;320;31;29;4;1;255;4214013787;4010249003;255;0;1;0;4;1;1;2;7;2;0;Normal;0
5005;ftp-data;320;1862;31;29;1;2;255;1270467234;1341258452;255;0;3;0;3;1;1;4;2;3;0;Normal;0
37075;-;25680;1094788;31;29;38;390;255;2111525412;4261875373;255;0;9;0;3;1;1;4;5;7;0;Normal;0
16531;ftp-data;424;8824;31;29;1;4;255;2771163101;629585980;255;0;6;0;9;1;1;8;7;7;0;Normal;0
10870;-;3952;2664;31;29;7;7;255;188670497;191912395;255;0;5;0;4;1;1;3;4;9;0;Normal;0
35831;ftp-data;8928;320;31;29;4;1;255;3729427857;3742875875;255;0;3;0;5;1;1;5;5;3;0;Normal;0
38426;dns;146;178;31;29;0;0;0;0;0;0;0;3;0;5;2;2;2;5;2;0;Normal;0
47461;-;534;268;254;252;2;1;255;867662149;2914834980;255;0;3;1;1;1;1;3;1;3;0;Normal;0
101252;-;986;86;62;252;2;1;255;2780377885;1918173936;255;0;7;3;2;2;1;7;2;7;0;Normal;0
24925;-;2958;32642;31;29;7;18;255;2567200193;2588404406;255;0;7;0;3;1;1;1;5;9;0;Normal;0
110855;-;46;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;1;1;1;Normal;0
84117;-;1506;354;254;252;2;1;255;3135580696;1577278343;255;0;4;1;2;1;1;4;1;8;0;Normal;0
30125;ftp-data;320;1930;31;29;1;2;255;113450227;124833659;255;0;3;0;3;1;1;5;3;3;0;Normal;0
39782;http;1684;10168;31;29;3;5;255;3247626899;3252837340;255;3924;1;0;7;1;1;2;1;4;0;Normal;0
10418;-;1470;1728;31;29;5;4;255;1411120449;3556818655;255;0;3;0;2;1;1;1;2;12;0;Normal;0
85847;-;1354;726;254;252;3;2;255;2315724372;3088682373;255;0;8;1;1;1;1;4;1;4;0;Normal;0
3238;-;1540;1644;31;29;4;4;255;1452270738;1458318977;255;0;21;0;5;5;1;12;11;12;0;Normal;0
25345;-;568;320;31;29;0;0;0;0;0;0;0;9;0;10;2;1;4;5;9;0;Normal;0
11408;-;1470;1728;31;29;5;4;255;2422060259;276995435;255;0;4;0;2;1;1;5;2;8;0;Normal;0
87881;http;818;1176;62;252;2;2;255;3400288926;1426871288;255;143;3;1;1;1;1;3;2;3;0;Normal;0
30385;-;4376;2976;31;29;7;7;255;2335546962;2338738032;255;0;3;0;4;1;1;3;3;5;0;Normal;0
10403;-;7810;14540;31;29;30;32;255;3520755852;1391400977;255;0;4;0;1;1;1;1;2;12;0;Normal;0
39247;-;3598;48710;31;29;7;24;255;3706785300;3707100377;255;0;11;0;1;1;1;1;6;3;0;Normal;0
3289;-;4152;2872;31;29;7;7;255;982591637;3135476575;255;0;3;0;1;1;1;1;1;4;0;Normal;0
1917;http;1052;824;31;29;2;2;255;3334230381;3331102311;255;83;1;0;2;1;1;2;3;3;0;Normal;0
32008;ftp-data;8928;424;31;29;4;1;255;636164196;3088054890;255;0;2;0;5;1;1;3;4;3;0;Normal;0
24460;dns;146;178;31;29;0;0;0;0;0;0;0;2;0;3;1;1;1;3;2;0;Normal;0
39140;dns;130;162;31;29;0;0;0;0;0;0;0;7;0;1;1;1;3;1;2;0;Normal;0
34407;ftp-data;8928;320;31;29;4;1;255;1863778930;1881388547;255;0;3;0;10;1;1;5;8;3;0;Normal;0
15082;-;3936;2456;31;29;7;7;255;4289563825;2143063333;255;0;5;0;5;1;1;5;3;6;0;Normal;0
111376;-;46;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;1;Normal;0
38636;-;3598;48710;31;29;7;24;255;1219654581;1219945625;255;0;8;0;2;1;1;1;6;2;0;Normal;0
3500;-;1540;1644;31;29;4;4;255;4227860119;4233432851;255;0;11;0;4;8;1;7;11;6;0;Normal;0
35631;http;1032;824;31;29;2;2;255;264041718;266436590;255;83;1;0;2;1;1;3;6;2;0;Normal;0
16259;dns;146;178;31;29;0;0;0;0;0;0;0;2;0;2;1;1;1;3;1;0;Normal;0
41450;-;1542;556;254;252;5;3;255;2982206608;3559651332;255;0;6;1;1;1;1;6;1;6;0;Normal;0
14324;smtp;37152;3380;31;29;18;8;255;3502786357;3503802038;255;0;1;0;3;1;1;7;4;3;0;Normal;0
35185;-;2158;2478;31;29;6;6;255;2483733662;2484010135;255;0;4;0;4;1;1;1;2;8;0;Normal;0
64999;-;534;268;254;252;2;1;255;2998334201;2516777456;255;0;7;1;2;2;1;7;3;7;0;Normal;0
41818;-;6096;678;254;252;5;4;255;317678601;992025329;255;0;4;1;2;1;1;4;2;5;0;Normal;0
35096;smtp;37938;3380;31;29;19;8;255;2187930960;39391352;255;0;1;0;3;1;1;2;5;1;0;Normal;0
7432;dns;146;178;31;29;0;0;0;0;0;0;0;2;0;1;1;1;2;1;3;0;Normal;0
44136;-;2530;354;254;252;2;1;255;3432169391;916655870;255;0;2;1;1;1;1;2;1;3;0;Normal;0
2285;-;3806;51808;31;29;7;26;255;1689679376;3835378632;255;0;8;0;1;1;1;2;2;11;0;Normal;0
22416;-;520;304;31;29;0;0;0;0;0;0;0;6;0;4;1;1;4;4;8;0;Normal;0
35708;-;3182;39076;31;29;7;20;255;1341844414;3487541849;255;0;6;0;2;1;1;1;4;1;0;Normal;0
29304;-;3960;2456;31;29;7;7;255;4147671708;4150798010;255;0;5;0;3;1;1;3;3;10;0;Normal;0
36403;dns;132;164;31;29;0;0;0;0;0;0;0;5;0;6;2;1;1;3;2;0;Normal;0
110383;-;46;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;1;1;1;Normal;0
45141;-;2516;268;254;252;2;1;255;1454281339;656567212;255;0;6;1;1;1;1;6;1;6;0;Normal;0
114826;-;46;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;1;Normal;0
25866;-;2054;2478;31;29;6;6;255;471874991;2617521166;255;0;6;0;1;1;1;1;1;3;0;Normal;0
44437;-;486;268;254;252;2;1;255;2756998228;649337762;255;0;10;1;2;2;1;10;2;10;0;Normal;0
21488;-;3614;50140;31;29;7;24;255;1231613480;1231950033;255;0;4;0;4;1;1;2;4;6;0;Normal;0
88016;-;564;0;254;0;0;0;0;0;0;0;0;3;2;3;2;1;3;2;3;0;Normal;0
11290;-;1470;1728;31;29;5;4;255;573699228;2719384917;255;0;9;0;2;1;1;5;3;6;0;Normal;0
44734;-;528;354;254;252;2;1;255;4090388400;2343133932;255;0;6;1;2;1;1;6;2;6;0;Normal;0
15013;-;568;304;31;29;0;0;0;0;0;0;0;7;0;6;1;1;5;6;10;0;Normal;0
10239;dns;130;162;31;29;0;0;0;0;0;0;0;4;0;4;2;1;3;4;1;0;Normal;0
23346;dns;146;178;31;29;0;0;0;0;0;0;0;2;0;3;1;1;3;8;3;0;Normal;0
106819;-;534;354;254;252;2;1;255;2832968810;52781163;255;0;1;1;2;1;1;1;1;1;0;Normal;0
1834;-;1540;1644;31;29;4;4;255;3501718776;1357119145;255;0;10;0;5;5;1;5;6;11;0;Normal;0
31302;-;3744;19084;31;29;11;15;255;791126924;2936821804;255;0;7;0;3;1;1;2;1;8;0;Normal;0
2312;dns;146;178;31;29;0;0;0;0;0;0;0;1;0;1;1;1;1;1;3;0;Normal;0
7024;ftp-data;8928;320;31;29;4;1;255;1250601630;453991278;255;0;3;0;3;1;1;4;2;3;0;Normal;0
2212;ftp-data;424;8824;31;29;1;4;255;729684369;2983663849;255;0;1;0;2;1;1;1;5;1;0;Normal;0
31070;http;1580;10168;31;29;3;5;255;2783160081;2784181627;255;3924;2;0;2;1;1;1;6;1;0;Normal;0
37050;ssh;12472;12820;31;29;17;17;255;1799395772;1799663171;255;0;2;0;4;2;2;3;6;3;0;Normal;0
14942;-;4014;59460;31;29;7;28;255;3961617880;1827764333;255;0;11;0;2;1;1;4;1;4;0;Normal;0
17280;-;7814;14990;31;29;30;32;255;2610531580;525555303;255;0;5;0;3;1;1;1;1;3;0;Normal;0
36464;smtp;37808;3380;31;29;19;8;255;1186879923;3337427659;255;0;1;0;1;1;1;1;3;1;0;Normal;0
4753;dns;130;162;31;29;0;0;0;0;0;0;0;3;0;3;1;1;3;3;3;0;Normal;0
46364;-;46;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;1;1;1;Normal;0
109768;-;46;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;1;Normal;0
2875;-;2438;18508;31;29;7;13;255;814714964;2982322982;255;0;8;0;2;1;1;3;5;4;0;Normal;0
17915;smtp;37152;3276;31;29;18;8;255;3848081672;1760730088;255;0;1;0;5;1;1;1;1;2;0;Normal;0
20975;http;1040;824;31;29;2;2;255;433544951;434542038;255;83;2;0;3;2;2;2;4;2;0;Normal;0
11533;-;1470;1728;31;29;5;4;255;91902307;92209875;255;0;11;0;1;1;1;3;1;4;0;Normal;0
4332;ftp-data;320;1826;31;29;1;2;255;3529723084;3539952038;255;0;3;0;3;1;1;5;5;3;0;Normal;0
39546;-;4342;63618;31;29;7;30;255;955017988;3153339883;255;0;2;0;3;1;1;5;2;4;0;Normal;0
20254;-;544;304;31;29;0;0;0;0;0;0;0;6;0;4;1;1;3;5;6;0;Normal;0
4842;-;2438;18508;31;29;7;13;255;529812797;569168738;255;0;8;0;3;1;1;5;3;4;0;Normal;0
13566;smtp;37152;3276;31;29;18;8;255;1787334323;3937926069;255;0;1;0;2;1;1;2;3;3;0;Normal;0
2319;-;1540;1644;31;29;4;4;255;4079265920;1933745244;255;0;10;0;7;6;1;9;8;9;0;Normal;0
107068;-;534;268;254;252;2;1;255;3303317054;3952632929;255;0;5;1;2;1;1;3;2;3;0;Normal;0
21120;-;2054;2478;31;29;6;6;255;1118574679;1118852457;255;0;13;0;1;1;1;3;4;8;0;Normal;0
36304;-;568;312;31;29;0;0;0;0;0;0;0;9;0;3;1;1;5;4;10;0;Normal;0
26369;-;520;304;31;29;0;0;0;0;0;0;0;6;0;3;1;1;3;2;9;0;Normal;0
2031;-;3806;51808;31;29;7;26;255;4234229534;2084982655;255;0;2;0;1;1;1;1;2;9;0;Normal;0
85187;-;610;268;254;252;2;1;255;3684255394;3190671047;255;0;3;1;2;2;1;3;2;3;0;Normal;0
35531;-;2542;23508;31;29;7;14;255;1629331919;1706460445;255;0;4;0;2;1;1;1;4;4;0;Normal;0
7303;http;1684;10168;31;29;3;5;255;4252302626;4249567683;255;3924;2;0;3;1;1;2;1;1;0;Normal;0
67852;-;1064;0;254;0;0;0;0;0;0;0;0;33;2;15;15;2;33;15;33;0;Normal;0
92891;-;90;0;254;0;1;0;255;0;0;0;0;11;6;2;1;1;9;2;9;0;Normal;0
104298;-;534;268;254;252;2;1;255;282662029;1498889462;255;0;2;1;1;1;1;2;3;2;0;Normal;0
2406;-;1540;1644;31;29;4;4;255;82199861;89164082;255;0;22;0;7;18;1;7;24;11;0;Normal;0
15325;http;1032;822;31;29;2;2;255;757069045;2903477958;255;82;1;0;2;1;1;1;9;3;0;Normal;0
38454;ftp-data;528;8824;31;29;1;4;255;2816727326;2820042960;255;0;3;0;7;1;1;6;5;3;0;Normal;0
42824;-;78;0;254;0;0;0;0;0;0;0;0;3;2;2;1;1;3;1;5;0;Normal;0
44270;-;3678;354;254;252;3;1;255;1879408556;3423531777;255;0;11;1;6;6;1;10;6;11;0;Normal;0
37641;http;1684;10168;31;29;3;5;255;3941625175;3942556010;255;3924;3;0;1;1;1;7;3;1;0;Normal;0
5816;-;536;304;31;29;0;0;0;0;0;0;0;4;0;4;1;1;3;3;8;0;Normal;0
75271;-;104;0;254;0;0;0;0;0;0;0;0;6;2;1;1;1;6;1;6;0;Normal;0
25829;-;2958;32642;31;29;7;18;255;351878943;2513011067;255;0;10;0;1;1;1;1;3;7;0;Normal;0
34513;-;4030;57474;31;29;7;27;255;3770381904;3793190941;255;0;7;0;3;1;1;1;4;3;0;Normal;0
3294;-;3806;51808;31;29;7;26;255;162456914;162786276;255;0;9;0;2;1;1;1;2;8;0;Normal;0
34369;http;1684;10168;31;29;3;5;255;766487919;767579270;255;3924;1;0;4;1;1;1;3;3;0;Normal;0
16470;ftp-data;8928;424;31;29;4;1;255;1389065770;3797860444;255;0;4;0;4;1;1;5;4;3;0;Normal;0
36633;dns;146;178;31;29;0;0;0;0;0;0;0;5;0;3;1;1;2;2;4;0;Normal;0
81388;-;534;268;254;252;2;1;255;2202431620;2760113638;255;0;5;1;1;1;1;4;1;4;0;Normal;0
8659;-;486;354;254;252;2;1;255;2533893346;3123639503;255;0;7;1;2;2;1;7;2;7;0;Normal;0
102068;-;986;86;62;252;2;1;255;2218318547;1937935422;255;0;7;3;3;3;1;7;3;8;0;Normal;0
45024;http;866;1254;62;252;2;2;255;1129829257;3340910990;255;152;3;1;2;2;2;3;2;3;0;Normal;0
